|DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO
16505|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||2030.0|ANGEL PEDRO GILER|F|40946.0|1794.0|234.0|213.0|4.0|NOE INTRIAGO|12.0
16506|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||2030.0|ANGEL PEDRO GILER|M|40946.0|1866.0|289.0|250.0|8.0|NOE INTRIAGO|12.0
16507|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||6170.0|TOSAGUA|F|40946.0|12018.0|1789.0|1667.0|55.0|NOE INTRIAGO|12.0
16508|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||6170.0|TOSAGUA|M|40946.0|11944.0|2015.0|1410.0|83.0|NOE INTRIAGO|12.0
16509|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||1060.0|SAN SEBASTIAN|F|40946.0|1525.0|254.0|266.0|1.0|NOE INTRIAGO|12.0
16510|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||1060.0|SAN SEBASTIAN|M|40946.0|1627.0|386.0|226.0|8.0|NOE INTRIAGO|12.0
16511|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||1065.0|BARRAGANETE|F|40946.0|580.0|130.0|169.0|2.0|NOE INTRIAGO|12.0
16512|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||1065.0|BARRAGANETE|M|40946.0|703.0|207.0|151.0|3.0|NOE INTRIAGO|12.0
16513|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||6550.0|PICHINCHA /GERMUD|F|40946.0|6067.0|979.0|1029.0|16.0|NOE INTRIAGO|12.0
16514|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|840.0|PICHINCHA|0.0|0.0||6550.0|PICHINCHA /GERMUD|M|40946.0|6195.0|1207.0|953.0|33.0|NOE INTRIAGO|12.0
16515|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||580.0|COJIMIES|F|40946.0|2784.0|455.0|469.0|19.0|NOE INTRIAGO|12.0
16516|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||580.0|COJIMIES|M|40946.0|3179.0|731.0|470.0|28.0|NOE INTRIAGO|12.0
16517|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||785.0|ATAHUALPA|F|40946.0|852.0|182.0|119.0|4.0|NOE INTRIAGO|12.0
16518|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||785.0|ATAHUALPA|M|40946.0|955.0|249.0|122.0|9.0|NOE INTRIAGO|12.0
16519|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||1030.0|10 DE AGOSTO|F|40946.0|1622.0|481.0|152.0|8.0|NOE INTRIAGO|12.0
